【にゃんこ砲】強力なビーム砲を発射可能,ただしチャージ時間が必要です,
【働きネコ】[お金の生産スピード]と,[お金の最大値]がアップできます,
,,
,,
,,
,,
【ネコ】安価で生産できる基本ユニット,,
【タンクネコ】攻撃力は弱いが体力を,多く備えた盾用のユニット(範囲攻撃),
【バトルネコ】戦闘向きのユニット,｢赤い敵｣にめっぽう強い,
【キモネコ】遠距離攻撃型のユニット,単発だけなら攻撃力はハイクラス,
【ウシネコ】俊敏な動き･攻撃回数に,優れた緊急支援型のユニット,
【ネコノトリ】守りは弱いが敵をまとめて,一掃する破壊力を持つユニット(範囲攻撃),
【ネコフィッシュ】戦闘用高級ユニット,｢赤い敵｣にはめっぽう強い,
【ネコトカゲ】遠距離型の高級ユニット,単発だけなら攻撃力はピカイチ,
【巨神ネコ】超絶破壊力＆強靭な体力を,備えた最高級のユニット(範囲攻撃),
【ネコビルダー】,安価で生産できる基本ユニット,
【ネコカベ】攻撃力は弱いが体力を,多く備えた盾用のユニット(範囲攻撃),
【勇者ネコ】戦闘向きのユニット,｢赤い敵｣にめっぽう強い,
【美脚ネコ】遠距離攻撃型のユニット,単発だけなら攻撃力はハイクラス,
【ネコキリン】俊敏な動き･攻撃回数に,優れた緊急支援型のユニット,
【ネコＵＦＯ】守りは弱いが敵をまとめて,一掃する破壊力を持つユニット(範囲攻撃),
【ネコクジラ】戦闘用高級ユニット,｢赤い敵｣にはめっぽう強いい,
【ネコドラゴン】遠距離型の高級ユニット,単発だけなら攻撃力はピカイチ,
【ネコダラボッチ】超絶破壊力＆強靭な,体力を持つ最高級のユニット(範囲攻撃),
？？？,,